date,day,total_delay_time,n,mean_delay_time
2023-01-01,Sunday,2034,97,20.969072164948454
2023-01-02,Monday,2174,65,33.44615384615385
2023-01-03,Tuesday,2437,108,22.564814814814813
2023-01-04,Wednesday,3500,151,23.178807947019866
2023-01-05,Thursday,2623,118,22.228813559322035
2023-01-06,Friday,2494,127,19.637795275590552
2023-01-07,Saturday,1636,87,18.804597701149426
2023-01-08,Sunday,1394,70,19.914285714285715
2023-01-09,Monday,2221,127,17.488188976377952
2023-01-10,Tuesday,1682,101,16.653465346534652
2023-01-11,Wednesday,2454,111,22.10810810810811
2023-01-12,Thursday,1878,107,17.55140186915888
2023-01-13,Friday,3933,177,22.220338983050848
2023-01-14,Saturday,2482,100,24.82
2023-01-15,Sunday,1973,80,24.6625
2023-01-16,Monday,1502,90,16.68888888888889
2023-01-17,Tuesday,3199,133,24.05263157894737
2023-01-18,Wednesday,4819,91,52.956043956043956
2023-01-19,Thursday,1616,98,16.489795918367346
2023-01-20,Friday,3297,112,29.4375
2023-01-21,Saturday,2441,115,21.22608695652174
2023-01-22,Sunday,1956,84,23.285714285714285
2023-01-23,Monday,2049,103,19.893203883495147
2023-01-24,Tuesday,1885,130,14.5
2023-01-25,Wednesday,13554,234,57.92307692307692
2023-01-26,Thursday,5064,185,27.372972972972974
2023-01-27,Friday,3720,137,27.153284671532848
2023-01-28,Saturday,1365,89,15.337078651685394
2023-01-29,Sunday,3410,102,33.431372549019606
2023-01-30,Monday,2272,112,20.285714285714285
2023-01-31,Tuesday,3818,136,28.073529411764707
2023-02-01,Wednesday,2631,139,18.928057553956833
2023-02-02,Thursday,2677,124,21.588709677419356
2023-02-03,Friday,4683,228,20.539473684210527
2023-02-04,Saturday,2216,122,18.16393442622951
2023-02-05,Sunday,3127,92,33.98913043478261
2023-02-06,Monday,2711,135,20.081481481481482
2023-02-07,Tuesday,2149,135,15.91851851851852
2023-02-08,Wednesday,2951,172,17.156976744186046
2023-02-09,Thursday,2435,149,16.34228187919463
2023-02-10,Friday,1876,140,13.4
2023-02-11,Saturday,2188,111,19.71171171171171
2023-02-12,Sunday,3721,92,40.44565217391305
2023-02-13,Monday,2873,143,20.09090909090909
2023-02-14,Tuesday,3375,142,23.767605633802816
2023-02-15,Wednesday,3427,148,23.155405405405407
2023-02-16,Thursday,2499,137,18.240875912408757
2023-02-17,Friday,2821,157,17.96815286624204
2023-02-18,Saturday,1797,67,26.82089552238806
2023-02-19,Sunday,1423,64,22.234375
2023-02-20,Monday,1705,92,18.532608695652176
2023-02-21,Tuesday,2861,138,20.731884057971016
2023-02-22,Wednesday,5762,214,26.925233644859812
2023-02-23,Thursday,6943,219,31.703196347031962
2023-02-24,Friday,3685,153,24.084967320261438
2023-02-25,Saturday,2880,107,26.91588785046729
2023-02-26,Sunday,2130,76,28.026315789473685
2023-02-27,Monday,6929,163,42.50920245398773
2023-02-28,Tuesday,2521,143,17.62937062937063
2023-03-01,Wednesday,2071,115,18.008695652173913
2023-03-02,Thursday,3264,129,25.302325581395348
2023-03-03,Friday,3358,98,34.265306122448976
2023-03-04,Saturday,14588,199,73.30653266331659
2023-03-05,Sunday,3601,99,36.37373737373738
2023-03-06,Monday,5084,225,22.595555555555556
2023-03-07,Tuesday,3870,156,24.807692307692307
2023-03-08,Wednesday,3267,122,26.778688524590162
2023-03-09,Thursday,2862,131,21.84732824427481
2023-03-10,Friday,4581,166,27.596385542168676
2023-03-11,Saturday,2577,133,19.37593984962406
2023-03-12,Sunday,1222,68,17.970588235294116
2023-03-13,Monday,2461,118,20.85593220338983
2023-03-14,Tuesday,2978,143,20.825174825174827
2023-03-15,Wednesday,1238,96,12.895833333333334
2023-03-16,Thursday,1504,110,13.672727272727272
2023-03-17,Friday,2062,134,15.388059701492537
2023-03-18,Saturday,2082,117,17.794871794871796
2023-03-19,Sunday,2519,88,28.625
2023-03-20,Monday,2350,108,21.75925925925926
2023-03-21,Tuesday,2416,128,18.875
2023-03-22,Wednesday,1044,72,14.5
2023-03-23,Thursday,2159,135,15.992592592592592
2023-03-24,Friday,1795,109,16.46788990825688
2023-03-25,Saturday,2282,117,19.504273504273506
2023-03-26,Sunday,1814,85,21.341176470588234
2023-03-27,Monday,1776,90,19.733333333333334
2023-03-28,Tuesday,2481,98,25.316326530612244
2023-03-29,Wednesday,3280,121,27.107438016528924
2023-03-30,Thursday,2515,116,21.68103448275862
2023-03-31,Friday,2471,135,18.303703703703704
2023-04-01,Saturday,1698,102,16.647058823529413
2023-04-02,Sunday,1562,93,16.795698924731184
2023-04-03,Monday,1257,95,13.23157894736842
2023-04-04,Tuesday,1659,109,15.220183486238533
2023-04-05,Wednesday,2319,148,15.66891891891892
2023-04-06,Thursday,1588,103,15.41747572815534
2023-04-07,Friday,1250,68,18.38235294117647
2023-04-08,Saturday,1811,93,19.473118279569892
2023-04-09,Sunday,1757,67,26.223880597014926
2023-04-10,Monday,2286,100,22.86
2023-04-11,Tuesday,1979,106,18.669811320754718
2023-04-12,Wednesday,1903,123,15.471544715447154
2023-04-13,Thursday,3235,142,22.781690140845072
2023-04-14,Friday,3683,162,22.734567901234566
2023-04-15,Saturday,1814,105,17.276190476190475
2023-04-16,Sunday,1739,85,20.458823529411763
2023-04-17,Monday,3178,154,20.636363636363637
2023-04-18,Tuesday,2780,110,25.272727272727273
2023-04-19,Wednesday,4320,161,26.832298136645964
2023-04-20,Thursday,2609,114,22.885964912280702
2023-04-21,Friday,2992,132,22.666666666666668
2023-04-22,Saturday,2168,113,19.1858407079646
2023-04-23,Sunday,3632,99,36.686868686868685
2023-04-24,Monday,2496,108,23.11111111111111
2023-04-25,Tuesday,2851,163,17.49079754601227
2023-04-26,Wednesday,3698,134,27.597014925373134
2023-04-27,Thursday,3198,131,24.412213740458014
2023-04-28,Friday,3654,157,23.273885350318473
2023-04-29,Saturday,1651,100,16.51
2023-04-30,Sunday,1512,83,18.216867469879517
2023-05-01,Monday,2335,131,17.82442748091603
2023-05-02,Tuesday,1867,122,15.30327868852459
2023-05-03,Wednesday,2640,144,18.333333333333332
2023-05-04,Thursday,2256,137,16.467153284671532
2023-05-05,Friday,2666,126,21.158730158730158
2023-05-06,Saturday,3854,117,32.94017094017094
2023-05-07,Sunday,2095,88,23.806818181818183
2023-05-08,Monday,1736,114,15.228070175438596
2023-05-09,Tuesday,2912,86,33.86046511627907
2023-05-10,Wednesday,4974,134,37.11940298507463
2023-05-11,Thursday,2990,132,22.651515151515152
2023-05-12,Friday,2432,142,17.12676056338028
2023-05-13,Saturday,1657,93,17.817204301075268
2023-05-14,Sunday,1878,82,22.902439024390244
2023-05-15,Monday,2827,107,26.42056074766355
2023-05-16,Tuesday,2406,109,22.073394495412845
2023-05-17,Wednesday,2840,120,23.666666666666668
2023-05-18,Thursday,2025,125,16.2
2023-05-19,Friday,2280,122,18.688524590163933
2023-05-20,Saturday,2853,107,26.66355140186916
2023-05-21,Sunday,1602,78,20.53846153846154
2023-05-22,Monday,1611,48,33.5625
2023-05-23,Tuesday,3410,142,24.014084507042252
2023-05-24,Wednesday,3448,131,26.3206106870229
2023-05-25,Thursday,5002,145,34.49655172413793
2023-05-26,Friday,2393,109,21.954128440366972
2023-05-27,Saturday,1485,88,16.875
2023-05-28,Sunday,1993,81,24.604938271604937
2023-05-29,Monday,2983,114,26.166666666666668
2023-05-30,Tuesday,3379,133,25.406015037593985
2023-05-31,Wednesday,2938,148,19.85135135135135
2023-06-01,Thursday,2558,147,17.401360544217688
2023-06-02,Friday,2891,130,22.23846153846154
2023-06-03,Saturday,1733,126,13.753968253968255
2023-06-04,Sunday,2410,98,24.591836734693878
2023-06-05,Monday,5065,125,40.52
2023-06-06,Tuesday,2841,103,27.58252427184466
2023-06-07,Wednesday,3086,128,24.109375
2023-06-08,Thursday,2435,120,20.291666666666668
2023-06-09,Friday,2530,126,20.07936507936508
2023-06-10,Saturday,3078,149,20.65771812080537
2023-06-11,Sunday,2684,115,23.339130434782607
2023-06-12,Monday,4503,162,27.796296296296298
2023-06-13,Tuesday,3374,160,21.0875
2023-06-14,Wednesday,3650,151,24.172185430463575
2023-06-15,Thursday,2363,135,17.503703703703703
2023-06-16,Friday,2489,121,20.570247933884296
2023-06-17,Saturday,3365,124,27.137096774193548
2023-06-18,Sunday,2173,91,23.87912087912088
2023-06-19,Monday,2498,127,19.669291338582678
2023-06-20,Tuesday,1710,92,18.58695652173913
2023-06-21,Wednesday,2078,119,17.462184873949578
2023-06-22,Thursday,2623,133,19.721804511278197
2023-06-23,Friday,2814,135,20.844444444444445
2023-06-24,Saturday,2694,121,22.264462809917354
2023-06-25,Sunday,1127,59,19.10169491525424
2023-06-26,Monday,4214,145,29.06206896551724
2023-06-27,Tuesday,4144,170,24.376470588235293
2023-06-28,Wednesday,2887,180,16.038888888888888
2023-06-29,Thursday,2793,162,17.24074074074074
2023-06-30,Friday,4270,135,31.62962962962963
2023-07-01,Saturday,2607,131,19.900763358778626
2023-07-02,Sunday,1276,69,18.492753623188406
2023-07-03,Monday,1846,95,19.431578947368422
2023-07-04,Tuesday,2722,143,19.034965034965033
2023-07-05,Wednesday,4582,166,27.602409638554217
2023-07-06,Thursday,3194,166,19.240963855421686
2023-07-07,Friday,3106,156,19.91025641025641
2023-07-08,Saturday,2550,127,20.078740157480315
2023-07-09,Sunday,2207,99,22.292929292929294
2023-07-10,Monday,3798,151,25.1523178807947
2023-07-11,Tuesday,3471,125,27.768
2023-07-12,Wednesday,2923,150,19.486666666666668
2023-07-13,Thursday,3686,197,18.710659898477157
2023-07-14,Friday,2018,158,12.772151898734178
2023-07-15,Saturday,3394,183,18.546448087431695
2023-07-16,Sunday,2462,133,18.51127819548872
2023-07-17,Monday,3524,159,22.163522012578618
2023-07-18,Tuesday,2937,154,19.071428571428573
2023-07-19,Wednesday,3411,149,22.892617449664428
2023-07-20,Thursday,5517,188,29.345744680851062
2023-07-21,Friday,3007,161,18.677018633540374
2023-07-22,Saturday,4838,186,26.010752688172044
2023-07-23,Sunday,2268,135,16.8
2023-07-24,Monday,4463,169,26.40828402366864
2023-07-25,Tuesday,4305,194,22.190721649484537
2023-07-26,Wednesday,6154,209,29.444976076555022
2023-07-27,Thursday,2763,168,16.446428571428573
2023-07-28,Friday,5489,265,20.713207547169812
2023-07-29,Saturday,4130,200,20.65
2023-07-30,Sunday,2515,131,19.198473282442748
2023-07-31,Monday,2214,122,18.147540983606557
2023-08-01,Tuesday,3121,199,15.683417085427136
2023-08-02,Wednesday,3388,159,21.30817610062893
2023-08-03,Thursday,3524,170,20.729411764705883
2023-08-04,Friday,4516,162,27.876543209876544
2023-08-05,Saturday,3583,193,18.564766839378237
2023-08-06,Sunday,2598,111,23.405405405405407
2023-08-07,Monday,1829,92,19.880434782608695
2023-08-08,Tuesday,3278,154,21.285714285714285
2023-08-09,Wednesday,4656,195,23.876923076923077
2023-08-10,Thursday,4463,163,27.380368098159508
2023-08-11,Friday,4293,202,21.252475247524753
2023-08-12,Saturday,2584,162,15.950617283950617
2023-08-13,Sunday,2002,95,21.073684210526316
2023-08-14,Monday,4458,141,31.617021276595743
2023-08-15,Tuesday,3117,138,22.58695652173913
2023-08-16,Wednesday,3064,148,20.7027027027027
2023-08-17,Thursday,4993,162,30.820987654320987
2023-08-18,Friday,4343,187,23.22459893048128
2023-08-19,Saturday,3867,206,18.771844660194176
2023-08-20,Sunday,4490,143,31.3986013986014
2023-08-21,Monday,2995,127,23.58267716535433
2023-08-22,Tuesday,3140,143,21.958041958041957
2023-08-23,Wednesday,2631,131,20.083969465648856
2023-08-24,Thursday,6306,176,35.82954545454545
2023-08-25,Friday,5713,218,26.206422018348626
2023-08-26,Saturday,3426,150,22.84
2023-08-27,Sunday,3095,120,25.791666666666668
2023-08-28,Monday,3530,178,19.831460674157302
2023-08-29,Tuesday,3037,188,16.154255319148938
2023-08-30,Wednesday,2596,150,17.30666666666667
2023-08-31,Thursday,2484,149,16.671140939597315
2023-09-01,Friday,6396,235,27.217021276595744
2023-09-02,Saturday,4125,182,22.664835164835164
2023-09-03,Sunday,2302,101,22.792079207920793
2023-09-04,Monday,2942,130,22.630769230769232
2023-09-05,Tuesday,3723,173,21.520231213872833
2023-09-06,Wednesday,3478,158,22.0126582278481
2023-09-07,Thursday,2560,167,15.32934131736527
2023-09-08,Friday,1929,117,16.487179487179485
2023-09-09,Saturday,2303,128,17.9921875
2023-09-10,Sunday,2486,77,32.285714285714285
2023-09-11,Monday,3191,164,19.45731707317073
2023-09-12,Tuesday,2461,158,15.575949367088608
2023-09-13,Wednesday,4445,167,26.61676646706587
2023-09-14,Thursday,2820,137,20.583941605839417
2023-09-15,Friday,3953,179,22.083798882681563
2023-09-16,Saturday,2328,146,15.945205479452055
2023-09-17,Sunday,1997,115,17.36521739130435
2023-09-18,Monday,4025,185,21.756756756756758
2023-09-19,Tuesday,3145,177,17.768361581920903
2023-09-20,Wednesday,4838,171,28.292397660818715
2023-09-21,Thursday,3044,175,17.394285714285715
2023-09-22,Friday,4192,155,27.045161290322582
2023-09-23,Saturday,2296,128,17.9375
2023-09-24,Sunday,2761,113,24.43362831858407
2023-09-25,Monday,6359,199,31.954773869346734
2023-09-26,Tuesday,5713,174,32.833333333333336
2023-09-27,Wednesday,5077,198,25.641414141414142
2023-09-28,Thursday,3625,168,21.577380952380953
2023-09-29,Friday,3787,128,29.5859375
2023-09-30,Saturday,4682,194,24.1340206185567
2023-10-01,Sunday,3054,147,20.775510204081634
2023-10-02,Monday,4531,194,23.355670103092784
2023-10-03,Tuesday,4141,209,19.8133971291866
2023-10-04,Wednesday,2414,165,14.63030303030303
2023-10-05,Thursday,2570,181,14.19889502762431
2023-10-06,Friday,4235,202,20.965346534653467
2023-10-07,Saturday,4574,166,27.55421686746988
2023-10-08,Sunday,2327,122,19.07377049180328
2023-10-09,Monday,2272,93,24.43010752688172
2023-10-10,Tuesday,4119,157,26.235668789808916
2023-10-11,Wednesday,4524,194,23.31958762886598
2023-10-12,Thursday,3944,196,20.122448979591837
2023-10-13,Friday,3382,186,18.182795698924732
2023-10-14,Saturday,2980,137,21.751824817518248
2023-10-15,Sunday,2646,118,22.423728813559322
2023-10-16,Monday,3945,169,23.34319526627219
2023-10-17,Tuesday,2678,167,16.035928143712574
2023-10-18,Wednesday,2594,155,16.73548387096774
2023-10-19,Thursday,4635,156,29.71153846153846
2023-10-20,Friday,4668,210,22.228571428571428
2023-10-21,Saturday,4367,208,20.995192307692307
2023-10-22,Sunday,1949,137,14.226277372262773
2023-10-23,Monday,3070,161,19.06832298136646
2023-10-24,Tuesday,2051,129,15.89922480620155
2023-10-25,Wednesday,3951,204,19.36764705882353
2023-10-26,Thursday,3711,191,19.42931937172775
2023-10-27,Friday,4153,211,19.682464454976305
2023-10-28,Saturday,3527,156,22.608974358974358
2023-10-29,Sunday,2588,112,23.107142857142858
2023-10-30,Monday,3486,172,20.267441860465116
2023-10-31,Tuesday,3501,191,18.329842931937172
2023-11-01,Wednesday,3399,199,17.08040201005025
2023-11-02,Thursday,2770,144,19.23611111111111
2023-11-03,Friday,3346,175,19.12
2023-11-04,Saturday,2943,167,17.622754491017965
2023-11-05,Sunday,1650,118,13.983050847457626
2023-11-06,Monday,2341,151,15.503311258278146
2023-11-07,Tuesday,2347,126,18.626984126984127
2023-11-08,Wednesday,3161,188,16.81382978723404
2023-11-09,Thursday,3829,171,22.391812865497077
2023-11-10,Friday,4183,207,20.207729468599034
2023-11-11,Saturday,2765,174,15.89080459770115
2023-11-12,Sunday,3154,154,20.48051948051948
2023-11-13,Monday,4344,171,25.403508771929825
2023-11-14,Tuesday,2327,135,17.237037037037037
2023-11-15,Wednesday,3748,156,24.025641025641026
2023-11-16,Thursday,3788,181,20.92817679558011
2023-11-17,Friday,3300,188,17.5531914893617
2023-11-18,Saturday,4479,155,28.89677419354839
2023-11-19,Sunday,2024,111,18.234234234234233
2023-11-20,Monday,3108,178,17.46067415730337
2023-11-21,Tuesday,3292,188,17.51063829787234
2023-11-22,Wednesday,3370,194,17.371134020618555
2023-11-23,Thursday,3820,192,19.895833333333332
2023-11-24,Friday,4736,181,26.165745856353592
2023-11-25,Saturday,3012,154,19.558441558441558
2023-11-26,Sunday,3423,119,28.764705882352942
2023-11-27,Monday,2164,131,16.519083969465647
2023-11-28,Tuesday,3717,147,25.285714285714285
2023-11-29,Wednesday,3242,165,19.64848484848485
2023-11-30,Thursday,3566,182,19.593406593406595
2023-12-01,Friday,3763,190,19.805263157894736
2023-12-02,Saturday,3512,168,20.904761904761905
2023-12-03,Sunday,2464,117,21.05982905982906
2023-12-04,Monday,2843,162,17.549382716049383
2023-12-05,Tuesday,3569,152,23.480263157894736
2023-12-06,Wednesday,3638,165,22.048484848484847
2023-12-07,Thursday,3017,185,16.308108108108108
2023-12-08,Friday,3505,197,17.79187817258883
2023-12-09,Saturday,3437,152,22.611842105263158
2023-12-10,Sunday,2145,83,25.843373493975903
2023-12-11,Monday,4038,193,20.922279792746114
2023-12-12,Tuesday,2462,162,15.197530864197532
2023-12-13,Wednesday,4076,201,20.27860696517413
2023-12-14,Thursday,3112,177,17.581920903954803
2023-12-15,Friday,3408,206,16.54368932038835
2023-12-16,Saturday,4255,152,27.99342105263158
2023-12-17,Sunday,2879,114,25.25438596491228
2023-12-18,Monday,2421,166,14.58433734939759
2023-12-19,Tuesday,2283,140,16.307142857142857
2023-12-20,Wednesday,4469,173,25.832369942196532
2023-12-21,Thursday,3461,155,22.329032258064515
2023-12-22,Friday,2952,149,19.812080536912752
2023-12-23,Saturday,3050,168,18.154761904761905
2023-12-24,Sunday,3219,97,33.18556701030928
2023-12-25,Monday,1643,86,19.1046511627907
2023-12-26,Tuesday,1489,91,16.36263736263736
2023-12-27,Wednesday,3408,177,19.25423728813559
2023-12-28,Thursday,2005,130,15.423076923076923
2023-12-29,Friday,2546,173,14.716763005780347
2023-12-30,Saturday,3579,187,19.13903743315508
2023-12-31,Sunday,3286,146,22.506849315068493
